customer_id,customer_name,country,date_of_birth,gender,address,id_number,customer_type,onboarding_date,risk_category,matched_name,match_score,list_source,matched_sdn_program,matched_pep_details,screening_risk_level,final_decision
CUS141142,Felix Kim,Malaysia,01-12-1973,Male,"264 Park Boulevard, Penang, Malaysia",IZ6468004,Individual,25-11-2016,Low,None,64,None,,,LOW,APPROVE
CUS141143,Ahmed Smith,India,18-03-1965,Male,"22 Queen Avenue, Kolkata, India",SL0349382,Individual,22-01-2021,Low,None,72,None,,,LOW,APPROVE
CUS141144,Tahir Dalipi,Nigeria,07-03-2003,Female,"277 Oak Lane, Abuja, Nigeria",XQ3914260,Business,23-03-2016,High,"DALIPI, TAHIR",100,SANCTIONS,BALKANS,,CRITICAL,BLOCK - Manual Review Required
CUS141145,Adaeze Ahmed,Russia,14-04-2008,Female,"925 Main Lane, Moscow, Russia",BI0854743,Individual,17-03-2023,Low,"AGLEEL, AHMED",75,SANCTIONS,SDGT,,MEDIUM,REVIEW - Secondary Check
CUS141146,Amina Patel,Turkey,14-07-1971,Female,"313 Central Boulevard, Ankara, Turkey",MK0674698,Business,18-05-2015,Low,None,67,None,,,LOW,APPROVE
CUS141147,Nkechi Martinez,Japan,11-07-2002,Female,"602 Queen Way, Tokyo, Japan",DE5027526,Individual,01-04-2018,Medium,None,60,None,,,LOW,APPROVE
CUS141148,Wei Patel,Turkey,23-06-1970,Male,"798 Park Way, Istanbul, Turkey",DF9274965,Individual,29-07-2023,Low,None,60,None,,,LOW,APPROVE
CUS141149,Ricardo Nguyen,Iran,01-11-1972,Male,"339 King Lane, Tabriz, Iran",OP7122332,Business,10-10-2016,Low,None,59,None,,,LOW,APPROVE
CUS141150,Liam Müller,UK,28-01-1974,Male,"373 Lake Lane, London, UK",MH1889057,Individual,23-12-2021,Low,None,64,None,,,LOW,APPROVE
CUS141151,Ricardo Wang,Malaysia,13-06-1968,Male,"947 Queen Avenue, Kuala Lumpur, Malaysia",LI9642423,Individual,17-08-2020,Low,"WANG, CHAO",76,SANCTIONS,"NPWMD, IFSR",,MEDIUM,REVIEW - Secondary Check
CUS141152,Hassan Reyes,United States,27-11-1967,Male,"88 Central Street, Chicago, United States",OU0390323,Individual,07-06-2023,Low,None,67,None,,,LOW,APPROVE
CUS141153,Mikhail Patel,Canada,02-12-1998,Male,"659 Queen Road, Montreal, Canada",BT9175146,Individual,01-03-2018,Low,None,69,None,,,LOW,APPROVE
CUS141154,Rania Garcia,Italy,21-05-1959,Female,"201 Central Court, Naples, Italy",IN7686711,Individual,24-06-2024,Medium,None,67,None,,,LOW,APPROVE
CUS141155,Nadia Silva,Germany,27-02-1996,Female,"996 Main Way, Berlin, Germany",RT7383327,Individual,25-05-2024,Low,None,74,None,,,LOW,APPROVE
CUS141156,James Garcia,Ghana,04-05-1954,Male,"668 Central Lane, Tamale, Ghana",KU7626549,Individual,04-06-2015,Low,None,67,None,,,LOW,APPROVE
CUS141157,Alexey Gennadievich Nechaev,Venezuela,15-12-1973,Female,"219 King Avenue, Barquisimeto, Venezuela",SD7454078,Individual,26-08-2015,High,"NECHAEV, ALEXEY GENNADIEVICH",100,SANCTIONS,RUSSIA-EO14024,,CRITICAL,BLOCK - Manual Review Required
CUS141158,Ayman Sabawi Ibrahim Hasan Al-Tikriti,Malaysia,24-05-1970,Male,"354 Green Court, Penang, Malaysia",ZM7230864,Individual,20-06-2016,High,"AL-TIKRITI, AYMAN SABAWI IBRAHIM HASAN",100,SANCTIONS,IRAQ2,,CRITICAL,BLOCK - Manual Review Required
CUS141159,Amir Martinez,Russia,27-03-1955,Male,"542 Lake Road, Moscow, Russia",ZE7079984,Individual,28-01-2017,Low,None,69,None,,,LOW,APPROVE
CUS141160,Kwame Ahmed,Nigeria,04-12-1984,Male,"702 Central Avenue, Kano, Nigeria",CK3136713,Business,02-01-2024,Low,"AHMED, AMEEN",82,SANCTIONS,SDGT,,HIGH,REVIEW - Secondary Check
CUS141161,Hassan Müller,South Africa,22-09-1965,Male,"137 Central Avenue, Pretoria, South Africa",OK1191090,Business,15-02-2018,Medium,"HASSAN, JAMIL",75,SANCTIONS,PAARSSR-EO13894,,MEDIUM,REVIEW - Secondary Check
CUS141162,Yuki Andersen,Iran,19-04-1959,Female,"845 Central Street, Mashhad, Iran",AB3318854,Individual,13-11-2017,Low,None,64,None,,,LOW,APPROVE
CUS141163,Rania Diallo,Nigeria,25-08-2003,Female,"538 Main Court, Kano, Nigeria",FR2230200,Individual,03-04-2022,Low,None,64,None,,,LOW,APPROVE
CUS141164,Aisha Garcia,Egypt,01-03-1991,Female,"309 River Way, Alexandria, Egypt",YE9571083,Individual,08-01-2017,Low,None,64,None,,,LOW,APPROVE
CUS141165,Anya Kowalski,Bangladesh,17-07-2000,Female,"442 Oak Boulevard, Chittagong, Bangladesh",BC2915692,Individual,20-09-2018,Low,None,62,None,,,LOW,APPROVE
CUS141166,Yasmin Silva,Italy,25-03-1995,Female,"982 Queen Boulevard, Turin, Italy",GR8349305,Individual,13-11-2021,Low,None,64,None,,,LOW,APPROVE
CUS141167,Patrick Andersen,India,09-02-1998,Male,"400 King Street, Kolkata, India",RA0921703,Individual,25-12-2015,Low,None,62,None,,,LOW,APPROVE
CUS141168,Emmanuel Ahmed,Spain,22-09-1988,Male,"514 Queen Way, Madrid, Spain",UX5057591,Individual,25-03-2020,Low,None,69,None,,,LOW,APPROVE
CUS141169,Svetlana Fernandez,China,13-11-1972,Female,"342 Hill Way, Guangzhou, China",UW8181736,Individual,19-03-2021,Low,None,68,None,,,LOW,APPROVE
CUS141170,Cotton Tom,United States,13-05-1977,Male,"974 Hill Boulevard, Los Angeles, United States",VG5271651,Individual,23-07-2018,Medium,None,61,None,,,LOW,APPROVE
CUS141171,David Singh,Canada,27-08-1995,Male,"635 Main Way, Montreal, Canada",KP9390527,Individual,30-09-2021,Low,None,67,None,,,LOW,APPROVE
CUS141172,Mohammead Pakpour,Iran,09-12-1958,Female,"210 King Way, Tehran, Iran",AV1667348,Individual,02-08-2023,High,"PAKPOUR, MOHAMMAD",97,SANCTIONS,"SDGT, IRGC, IFSR",,CRITICAL,BLOCK - Manual Review Required
CUS141173,Samuel Patel,UK,15-08-2002,Male,"131 Main Road, London, UK",ZH7181439,Individual,27-02-2016,Low,None,62,None,,,LOW,APPROVE
CUS141174,L. Vitalievna Kulinich,Pakistan,02-04-1971,Female,"227 King Way, Peshawar, Pakistan",WD4277643,Business,16-03-2018,High,"KULINICH, LARISA VITALIEVNA",89,SANCTIONS,UKRAINE-EO13660,,HIGH,HOLD - Enhanced Verification
CUS141175,Miriam Chen,Ghana,25-10-1979,Female,"497 Central Drive, Kumasi, Ghana",GU2102407,Business,13-05-2019,Medium,None,70,None,,,LOW,APPROVE
CUS141176,Priya Chen,Kenya,15-10-1948,Female,"814 Oak Street, Nairobi, Kenya",NJ4007190,Individual,23-10-2022,Medium,None,74,None,,,LOW,APPROVE
CUS141177,Isabella Wang,Russia,30-11-2000,Female,"806 King Street, Moscow, Russia",ZR8906915,Individual,02-01-2018,Low,None,69,None,,,LOW,APPROVE
CUS141178,Lucas Nguyen,India,06-08-1957,Male,"671 Queen Street, Chennai, India",JD7614153,Business,27-11-2024,Low,None,58,None,,,LOW,APPROVE
CUS141179,B. Mann,India,17-10-1973,Male,"471 Lake Avenue, Kolkata, India",NK4223930,Individual,18-08-2019,High,None,67,None,,,LOW,APPROVE
CUS141180,Maria Wang,Canada,22-10-1959,Female,"452 Oak Drive, Montreal, Canada",PT2007964,Individual,07-11-2022,Low,None,74,None,,,LOW,APPROVE
CUS141181,Mohammed Bakshi,Venezuela,13-04-1962,Male,"453 Queen Way, Barquisimeto, Venezuela",GI3734933,Individual,06-09-2021,Low,"BASERI, MOHAMMAD",80,SANCTIONS,IRAN-HR,,HIGH,REVIEW - Secondary Check
CUS141182,Diego Andersen,Nigeria,12-05-2006,Male,"964 River Drive, Lagos, Nigeria",RX6340684,Individual,19-07-2017,Low,None,64,None,,,LOW,APPROVE
CUS141183,Valentina Andersen,Syria,05-12-2006,Female,"401 Queen Avenue, Aleppo, Syria",OV5444240,Individual,16-11-2022,Low,None,67,None,,,LOW,APPROVE
CUS141184,David Nwosu,Saudi Arabia,06-05-1947,Male,"203 Lake Road, Mecca, Saudi Arabia",XF1685536,Business,07-06-2016,Low,None,61,None,,,LOW,APPROVE
CUS141185,Julia Wang,Malaysia,29-04-1989,Female,"713 Park Street, Kuala Lumpur, Malaysia",ST2462760,Individual,24-10-2023,Low,None,74,None,,,LOW,APPROVE
CUS141186,Svetlana Park,Saudi Arabia,21-05-1948,Female,"294 Park Lane, Mecca, Saudi Arabia",ND7708655,Business,09-04-2024,Low,None,71,None,,,LOW,APPROVE
CUS141187,Emmanuel Martinez,Turkey,07-10-1988,Male,"620 Oak Way, Istanbul, Turkey",AJ2557489,Individual,29-01-2024,Low,None,70,None,,,LOW,APPROVE
CUS141188,Sreten Lukioc,Pakistan,09-05-1970,Female,"117 King Boulevard, Islamabad, Pakistan",NQ3486044,Business,18-06-2016,High,"LUKIC, SRETEN",96,SANCTIONS,BALKANS,,CRITICAL,BLOCK - Manual Review Required
CUS141189,Sueshil Kumar Modi,India,12-11-1952,Male,"677 King Road, Delhi, India",KB8953955,Individual,12-01-2024,High,None,67,None,,,LOW,APPROVE
CUS141190,Rania Chen,Malaysia,18-04-1968,Female,"45 Green Boulevard, Penang, Malaysia",BN0346590,Individual,24-11-2021,Medium,None,74,None,,,LOW,APPROVE
CUS141191,Dmitri Chen,Mexico,13-07-1981,Male,"855 Central Drive, Monterrey, Mexico",IY9204524,Individual,30-09-2024,Low,None,71,None,,,LOW,APPROVE
CUS141192,James Bakshi,Ethiopia,01-06-1967,Male,"613 River Avenue, Mekelle, Ethiopia",LM0377859,Individual,05-08-2022,Low,None,67,None,,,LOW,APPROVE
CUS141193,Yasmin Ito,France,06-03-1957,Female,"1 Queen Avenue, Bordeaux, France",VM6936591,Business,10-07-2023,Low,None,64,None,,,LOW,APPROVE
CUS141194,Carlos Nguyen,China,14-09-1954,Male,"697 Park Boulevard, Shanghai, China",JZ9557124,Individual,30-03-2016,Low,None,58,None,,,LOW,APPROVE
CUS141195,Ivan Park,India,27-11-1970,Male,"278 Hill Street, Bangalore, India",VX7887933,Individual,26-12-2023,Low,IRAN PARAK,84,SANCTIONS,"IRAN, NPWMD, IFSR",,HIGH,REVIEW - Secondary Check
CUS141196,Larissa Johnson,Turkey,06-01-1955,Female,"318 Hill Street, Izmir, Turkey",TD5143551,Individual,29-06-2022,Low,None,62,None,,,LOW,APPROVE
CUS141197,Miriam Chen,Canada,20-10-1977,Female,"792 Main Avenue, Vancouver, Canada",PB3261345,Individual,25-07-2021,Low,None,70,None,,,LOW,APPROVE
CUS141198,Ivan Andersen,Canada,02-11-1983,Male,"382 Lake Road, Toronto, Canada",WO8379530,Individual,02-08-2024,Medium,None,70,None,,,LOW,APPROVE
CUS141199,Kwame Garcia,France,15-08-1999,Male,"776 Central Court, Marseille, France",ZU7671048,Individual,16-11-2020,Low,None,67,None,,,LOW,APPROVE
CUS141200,Amina Tanaka,Germany,02-09-1968,Female,"238 Central Avenue, Frankfurt, Germany",KS2798550,Individual,19-06-2019,Low,None,67,None,,,LOW,APPROVE
